#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/16/2023 08:45:52,29.90,,,,,
2,06/16/2023 08:50:52,29.60,,,,,
3,06/16/2023 08:55:52,28.57,,,,,
4,06/16/2023 09:00:52,28.61,,,,,
5,06/16/2023 09:05:52,29.04,,,,,
6,06/16/2023 09:10:52,29.34,,,,,
7,06/16/2023 09:15:52,29.86,,,,,
8,06/16/2023 09:20:52,30.07,,,,,
9,06/16/2023 09:25:52,30.50,,,,,
10,06/16/2023 09:30:52,30.76,,,,,
11,06/16/2023 09:35:52,31.10,,,,,
12,06/16/2023 09:40:52,31.23,,,,,
13,06/16/2023 09:45:52,30.80,,,,,
14,06/16/2023 09:50:52,31.23,,,,,
15,06/16/2023 09:55:52,31.66,,,,,
16,06/16/2023 10:00:52,31.87,,,,,
17,06/16/2023 10:05:52,32.22,,,,,
18,06/16/2023 10:10:52,32.47,,,,,
19,06/16/2023 10:15:52,32.64,,,,,
20,06/16/2023 10:20:52,32.82,,,,,
21,06/16/2023 10:25:52,33.16,,,,,
22,06/16/2023 10:30:52,33.29,,,,,
23,06/16/2023 10:35:52,33.37,,,,,
24,06/16/2023 10:40:52,33.33,,,,,
25,06/16/2023 10:45:52,33.80,,,,,
26,06/16/2023 10:50:52,34.19,,,,,
27,06/16/2023 10:55:52,34.36,,,,,
28,06/16/2023 11:00:52,34.49,,,,,
29,06/16/2023 11:05:52,34.70,,,,,
30,06/16/2023 11:10:52,34.75,,,,,
31,06/16/2023 11:15:52,34.96,,,,,
32,06/16/2023 11:20:52,34.96,,,,,
33,06/16/2023 11:25:52,35.00,,,,,
34,06/16/2023 11:30:52,35.09,,,,,
35,06/16/2023 11:35:52,35.22,,,,,
36,06/16/2023 11:40:52,34.75,,,,,
37,06/16/2023 11:45:52,35.05,,,,,
38,06/16/2023 11:50:52,35.13,,,,,
39,06/16/2023 11:55:52,35.13,,,,,
40,06/16/2023 12:00:52,35.35,,,,,
41,06/16/2023 12:05:52,35.30,,,,,
42,06/16/2023 12:10:52,35.22,,,,,
43,06/16/2023 12:15:52,35.09,,,,,
44,06/16/2023 12:20:52,35.48,,,,,
45,06/16/2023 12:25:52,35.30,,,,,
46,06/16/2023 12:30:52,35.39,,,,,
47,06/16/2023 12:35:52,35.48,,,,,
48,06/16/2023 12:40:52,35.39,,,,,
49,06/16/2023 12:45:52,35.39,,,,,
50,06/16/2023 12:50:52,35.60,,,,,
51,06/16/2023 12:55:52,35.56,,,,,
52,06/16/2023 13:00:52,35.65,,,,,
53,06/16/2023 13:05:52,35.13,,,,,
54,06/16/2023 13:10:52,34.96,,,,,
55,06/16/2023 13:15:52,34.57,,,,,
56,06/16/2023 13:20:52,34.57,,,,,
57,06/16/2023 13:25:52,34.57,,,,,
58,06/16/2023 13:30:52,34.32,,,,,
59,06/16/2023 13:35:52,34.19,,,,,
60,06/16/2023 13:40:52,34.02,,,,,
61,06/16/2023 13:45:52,33.63,,,,,
62,06/16/2023 13:50:52,33.59,,,,,
63,06/16/2023 13:55:52,33.59,,,,,
64,06/16/2023 14:00:52,33.63,,,,,
65,06/16/2023 14:05:52,33.55,,,,,
66,06/16/2023 14:10:52,33.80,,,,,
67,06/16/2023 14:15:52,33.72,,,,,
68,06/16/2023 14:20:52,33.93,,,,,
69,06/16/2023 14:25:52,34.32,,,,,
70,06/16/2023 14:30:52,34.66,,,,,
71,06/16/2023 14:35:52,35.09,,,,,
72,06/16/2023 14:40:52,35.05,,,,,
73,06/16/2023 14:45:52,35.13,,,,,
74,06/16/2023 14:50:52,35.09,,,,,
75,06/16/2023 14:55:52,34.92,,,,,
76,06/16/2023 15:00:52,34.66,,,,,
77,06/16/2023 15:05:52,34.57,,,,,
78,06/16/2023 15:10:52,34.36,,,,,
79,06/16/2023 15:15:52,34.32,,,,,
80,06/16/2023 15:20:52,34.10,,,,,
81,06/16/2023 15:25:52,34.10,,,,,
82,06/16/2023 15:30:52,34.19,,,,,
83,06/16/2023 15:35:52,34.15,,,,,
84,06/16/2023 15:40:52,34.27,,,,,
85,06/16/2023 15:45:52,34.40,,,,,
86,06/16/2023 15:50:52,34.36,,,,,
87,06/16/2023 15:55:52,34.45,,,,,
88,06/16/2023 16:00:52,34.36,,,,,
89,06/16/2023 16:05:52,34.36,,,,,
90,06/16/2023 16:10:52,34.36,,,,,
91,06/16/2023 16:15:52,34.32,,,,,
92,06/16/2023 16:20:52,34.27,,,,,
93,06/16/2023 16:25:52,34.15,,,,,
94,06/16/2023 16:30:52,34.02,,,,,
95,06/16/2023 16:35:52,34.02,,,,,
96,06/16/2023 16:40:52,34.06,,,,,
97,06/16/2023 16:45:52,33.89,,,,,
98,06/16/2023 16:50:52,33.89,,,,,
99,06/16/2023 16:55:52,33.76,,,,,
100,06/16/2023 17:00:52,33.55,,,,,
101,06/16/2023 17:05:52,33.37,,,,,
102,06/16/2023 17:10:52,33.12,,,,,
103,06/16/2023 17:15:52,32.99,,,,,
104,06/16/2023 17:20:52,32.73,,,,,
105,06/16/2023 17:25:52,32.52,,,,,
106,06/16/2023 17:30:52,32.26,,,,,
107,06/16/2023 17:35:52,32.13,,,,,
108,06/16/2023 17:40:52,31.87,,,,,
109,06/16/2023 17:45:52,31.74,,,,,
110,06/16/2023 17:50:52,31.49,,,,,
111,06/16/2023 17:55:52,31.49,,,,,
112,06/16/2023 18:00:52,31.31,,,,,
113,06/16/2023 18:05:52,31.14,,,,,
114,06/16/2023 18:10:52,30.97,,,,,
115,06/16/2023 18:15:52,30.89,,,,,
116,06/16/2023 18:20:52,30.80,,,,,
117,06/16/2023 18:25:52,30.63,,,,,
118,06/16/2023 18:30:52,30.54,,,,,
119,06/16/2023 18:35:52,30.41,,,,,
120,06/16/2023 18:40:52,30.16,,,,,
121,06/16/2023 18:45:52,29.94,,,,,
122,06/16/2023 18:50:52,29.73,,,,,
123,06/16/2023 18:55:52,29.51,,,,,
124,06/16/2023 19:00:52,29.26,,,,,
125,06/16/2023 19:05:52,29.04,,,,,
126,06/16/2023 19:10:52,28.83,,,,,
127,06/16/2023 19:15:52,28.53,,,,,
128,06/16/2023 19:20:52,28.31,,,,,
129,06/16/2023 19:25:52,28.10,,,,,
130,06/16/2023 19:30:52,27.88,,,,,
131,06/16/2023 19:35:52,27.63,,,,,
132,06/16/2023 19:40:52,27.45,,,,,
133,06/16/2023 19:45:52,27.28,,,,,
134,06/16/2023 19:50:52,27.02,,,,,
135,06/16/2023 19:55:52,26.81,,,,,
136,06/16/2023 20:00:52,26.47,,,,,
137,06/16/2023 20:05:52,26.17,,,,,
138,06/16/2023 20:10:52,25.82,,,,,
139,06/16/2023 20:15:52,25.52,,,,,
140,06/16/2023 20:20:52,25.09,,,,,
141,06/16/2023 20:25:52,24.71,,,,,
142,06/16/2023 20:30:52,24.28,,,,,
143,06/16/2023 20:35:52,23.94,,,,,
144,06/16/2023 20:40:52,23.55,,,,,
145,06/16/2023 20:45:52,23.29,,,,,
146,06/16/2023 20:50:52,22.99,,,,,
147,06/16/2023 20:55:52,22.69,,,,,
148,06/16/2023 21:00:52,22.43,,,,,
149,06/16/2023 21:05:52,22.22,,,,,
150,06/16/2023 21:10:52,22.01,,,,,
151,06/16/2023 21:15:52,21.70,,,,,
152,06/16/2023 21:20:52,21.53,,,,,
153,06/16/2023 21:25:52,21.32,,,,,
154,06/16/2023 21:30:52,21.10,,,,,
155,06/16/2023 21:35:52,20.98,,,,,
156,06/16/2023 21:40:52,20.89,,,,,
157,06/16/2023 21:45:52,20.76,,,,,
158,06/16/2023 21:50:52,20.59,,,,,
159,06/16/2023 21:55:52,20.50,,,,,
160,06/16/2023 22:00:52,20.25,,,,,
161,06/16/2023 22:05:52,20.12,,,,,
162,06/16/2023 22:10:52,20.03,,,,,
163,06/16/2023 22:15:52,19.77,,,,,
164,06/16/2023 22:20:52,19.60,,,,,
165,06/16/2023 22:25:52,19.56,,,,,
166,06/16/2023 22:30:52,19.43,,,,,
167,06/16/2023 22:35:52,19.35,,,,,
168,06/16/2023 22:40:52,19.30,,,,,
169,06/16/2023 22:45:52,19.22,,,,,
170,06/16/2023 22:50:52,19.00,,,,,
171,06/16/2023 22:55:52,18.87,,,,,
172,06/16/2023 23:00:52,18.79,,,,,
173,06/16/2023 23:05:52,18.70,,,,,
174,06/16/2023 23:10:52,18.53,,,,,
175,06/16/2023 23:15:52,18.49,,,,,
176,06/16/2023 23:20:52,18.44,,,,,
177,06/16/2023 23:25:52,18.44,,,,,
178,06/16/2023 23:30:52,18.40,,,,,
179,06/16/2023 23:35:52,18.27,,,,,
180,06/16/2023 23:40:52,18.23,,,,,
181,06/16/2023 23:45:52,18.19,,,,,
182,06/16/2023 23:50:52,18.14,,,,,
183,06/16/2023 23:55:52,18.06,,,,,
184,06/17/2023 00:00:52,17.93,,,,,
185,06/17/2023 00:05:52,17.84,,,,,
186,06/17/2023 00:10:52,17.80,,,,,
187,06/17/2023 00:15:52,17.76,,,,,
188,06/17/2023 00:20:52,17.63,,,,,
189,06/17/2023 00:25:52,17.54,,,,,
190,06/17/2023 00:30:52,17.46,,,,,
191,06/17/2023 00:35:52,17.33,,,,,
192,06/17/2023 00:40:52,17.29,,,,,
193,06/17/2023 00:45:52,17.29,,,,,
194,06/17/2023 00:50:52,17.20,,,,,
195,06/17/2023 00:55:52,17.11,,,,,
196,06/17/2023 01:00:52,17.03,,,,,
197,06/17/2023 01:05:52,16.94,,,,,
198,06/17/2023 01:10:52,16.86,,,,,
199,06/17/2023 01:15:52,16.77,,,,,
200,06/17/2023 01:20:52,16.60,,,,,
201,06/17/2023 01:25:52,16.56,,,,,
202,06/17/2023 01:30:52,16.47,,,,,
203,06/17/2023 01:35:52,16.43,,,,,
204,06/17/2023 01:40:52,16.34,,,,,
205,06/17/2023 01:45:52,16.30,,,,,
206,06/17/2023 01:50:52,16.26,,,,,
207,06/17/2023 01:55:52,16.26,,,,,
208,06/17/2023 02:00:52,16.21,,,,,
209,06/17/2023 02:05:52,16.17,,,,,
210,06/17/2023 02:10:52,16.04,,,,,
211,06/17/2023 02:15:52,16.04,,,,,
212,06/17/2023 02:20:52,15.96,,,,,
213,06/17/2023 02:25:52,15.87,,,,,
214,06/17/2023 02:30:52,15.87,,,,,
215,06/17/2023 02:35:52,15.87,,,,,
216,06/17/2023 02:40:52,15.74,,,,,
217,06/17/2023 02:45:52,15.74,,,,,
218,06/17/2023 02:50:52,15.74,,,,,
219,06/17/2023 02:55:52,15.66,,,,,
220,06/17/2023 03:00:52,15.61,,,,,
221,06/17/2023 03:05:52,15.57,,,,,
222,06/17/2023 03:10:52,15.44,,,,,
223,06/17/2023 03:15:52,15.44,,,,,
224,06/17/2023 03:20:52,15.36,,,,,
225,06/17/2023 03:25:52,15.36,,,,,
226,06/17/2023 03:30:52,15.23,,,,,
227,06/17/2023 03:35:52,15.18,,,,,
228,06/17/2023 03:40:52,15.14,,,,,
229,06/17/2023 03:45:52,15.06,,,,,
230,06/17/2023 03:50:52,15.01,,,,,
231,06/17/2023 03:55:52,14.97,,,,,
232,06/17/2023 04:00:52,14.88,,,,,
233,06/17/2023 04:05:52,14.84,,,,,
234,06/17/2023 04:10:52,14.80,,,,,
235,06/17/2023 04:15:52,14.75,,,,,
236,06/17/2023 04:20:52,14.75,,,,,
237,06/17/2023 04:25:52,14.71,,,,,
238,06/17/2023 04:30:52,14.63,,,,,
239,06/17/2023 04:35:52,14.63,,,,,
240,06/17/2023 04:40:52,14.63,,,,,
241,06/17/2023 04:45:52,14.58,,,,,
242,06/17/2023 04:50:52,14.54,,,,,
243,06/17/2023 04:55:52,14.45,,,,,
244,06/17/2023 05:00:52,14.41,,,,,
245,06/17/2023 05:05:52,14.37,,,,,
246,06/17/2023 05:10:52,14.28,,,,,
247,06/17/2023 05:15:52,14.24,,,,,
248,06/17/2023 05:20:52,14.24,,,,,
249,06/17/2023 05:25:52,14.28,,,,,
250,06/17/2023 05:30:52,14.28,,,,,
251,06/17/2023 05:35:52,14.20,,,,,
252,06/17/2023 05:40:52,14.15,,,,,
253,06/17/2023 05:45:52,14.11,,,,,
254,06/17/2023 05:50:52,14.15,,,,,
255,06/17/2023 05:55:52,14.15,,,,,
256,06/17/2023 06:00:52,14.11,,,,,
257,06/17/2023 06:05:52,14.15,,,,,
258,06/17/2023 06:10:52,14.11,,,,,
259,06/17/2023 06:15:52,14.24,,,,,
260,06/17/2023 06:20:52,14.24,,,,,
261,06/17/2023 06:25:52,14.28,,,,,
262,06/17/2023 06:30:52,14.41,,,,,
263,06/17/2023 06:35:52,14.50,,,,,
264,06/17/2023 06:40:52,14.63,,,,,
265,06/17/2023 06:45:52,14.80,,,,,
266,06/17/2023 06:50:52,14.93,,,,,
267,06/17/2023 06:55:52,15.06,,,,,
268,06/17/2023 07:00:52,15.23,,,,,
269,06/17/2023 07:05:52,15.36,,,,,
270,06/17/2023 07:10:52,15.57,,,,,
271,06/17/2023 07:15:52,15.78,,,,,
272,06/17/2023 07:20:52,16.04,,,,,
273,06/17/2023 07:25:52,16.34,,,,,
274,06/17/2023 07:30:52,16.56,,,,,
275,06/17/2023 07:35:52,16.81,,,,,
276,06/17/2023 07:40:52,17.11,,,,,
277,06/17/2023 07:45:52,17.54,,,,,
278,06/17/2023 07:50:52,17.84,,,,,
279,06/17/2023 07:55:52,18.14,,,,,
280,06/17/2023 08:00:52,18.57,,,,,
281,06/17/2023 08:05:52,18.87,,,,,
282,06/17/2023 08:10:52,19.22,,,,,
283,06/17/2023 08:15:52,19.69,,,,,
284,06/17/2023 08:20:52,19.99,,,,,
285,06/17/2023 08:25:52,20.29,,,,,
286,06/17/2023 08:30:52,20.80,,,,,
287,06/17/2023 08:35:52,21.40,,,,,
288,06/17/2023 08:40:52,21.96,,,,,
289,06/17/2023 08:45:52,22.48,,,,,
290,06/17/2023 08:50:52,22.91,,,,,
291,06/17/2023 08:55:52,23.51,,,,,
292,06/17/2023 09:00:52,24.02,,,,,
293,06/17/2023 09:05:52,24.62,,,,,
294,06/17/2023 09:10:52,25.09,,,,,
295,06/17/2023 09:15:52,25.65,,,,,
296,06/17/2023 09:20:52,25.95,,,,,
297,06/17/2023 09:25:52,26.30,,,,,
298,06/17/2023 09:30:52,26.47,,,,,
299,06/17/2023 09:35:52,26.72,,,,,
300,06/17/2023 09:40:52,26.94,,,,,
301,06/17/2023 09:45:52,27.11,,,,,
302,06/17/2023 09:50:52,27.32,,,,,
303,06/17/2023 09:55:52,27.54,,,,,
304,06/17/2023 10:00:52,27.80,,,,,
305,06/17/2023 10:05:52,28.10,,,,,
306,06/17/2023 10:10:52,28.44,,,,,
307,06/17/2023 10:15:52,28.87,,,,,
308,06/17/2023 10:20:52,29.13,,,,,
309,06/17/2023 10:25:52,29.21,,,,,
310,06/17/2023 10:30:52,29.64,,,,,
311,06/17/2023 10:35:52,29.90,,,,,
312,06/17/2023 10:40:52,30.16,,,,,
313,06/17/2023 10:45:52,30.07,,,,,
314,06/17/2023 10:50:52,30.59,,,,,
315,06/17/2023 10:55:52,31.01,,,,,
316,06/17/2023 11:00:52,31.23,,,,,
317,06/17/2023 11:05:52,31.10,,,,,
318,06/17/2023 11:10:52,31.27,,,,,
319,06/17/2023 11:15:52,31.44,,,,,
320,06/17/2023 11:20:52,31.10,,,,,
321,06/17/2023 11:25:52,30.93,,,,,
322,06/17/2023 11:30:52,30.80,,,,,
323,06/17/2023 11:35:52,30.67,,,,,
324,06/17/2023 11:40:52,30.71,,,,,
325,06/17/2023 11:45:52,30.93,,,,,
326,06/17/2023 11:50:52,30.84,,,,,
327,06/17/2023 11:55:52,31.14,,,,,
328,06/17/2023 12:00:52,31.27,,,,,
329,06/17/2023 12:05:52,31.27,,,,,
330,06/17/2023 12:10:52,31.49,,,,,
331,06/17/2023 12:15:52,31.44,,,,,
332,06/17/2023 12:20:52,31.40,,,,,
333,06/17/2023 12:25:52,31.23,,,,,
334,06/17/2023 12:30:52,31.31,,,,,
335,06/17/2023 12:35:52,31.27,,,,,
336,06/17/2023 12:40:52,31.36,,,,,
337,06/17/2023 12:45:52,31.53,,,,,
338,06/17/2023 12:50:52,31.36,,,,,
339,06/17/2023 12:55:52,31.23,,,,,
340,06/17/2023 13:00:52,31.19,,,,,
341,06/17/2023 13:05:52,31.27,,,,,
342,06/17/2023 13:10:52,31.19,,,,,
343,06/17/2023 13:15:52,31.31,,,,,
344,06/17/2023 13:20:52,31.10,,,,,
345,06/17/2023 13:25:52,31.10,,,,,
346,06/17/2023 13:30:52,30.97,,,,,
347,06/17/2023 13:35:52,31.01,,,,,
348,06/17/2023 13:40:52,31.27,,,,,
349,06/17/2023 13:45:52,31.10,,,,,
350,06/17/2023 13:50:52,31.23,,,,,
351,06/17/2023 13:55:52,31.31,,,,,
352,06/17/2023 14:00:52,31.40,,,,,
353,06/17/2023 14:05:52,31.44,,,,,
354,06/17/2023 14:10:52,31.53,,,,,
355,06/17/2023 14:15:52,31.66,,,,,
356,06/17/2023 14:20:52,31.83,,,,,
357,06/17/2023 14:25:52,31.83,,,,,
358,06/17/2023 14:30:52,32.17,,,,,
359,06/17/2023 14:35:52,32.09,,,,,
360,06/17/2023 14:40:52,32.26,,,,,
361,06/17/2023 14:45:52,32.39,,,,,
362,06/17/2023 14:50:52,32.22,,,,,
363,06/17/2023 14:55:52,32.04,,,,,
364,06/17/2023 15:00:52,31.83,,,,,
365,06/17/2023 15:05:52,31.83,,,,,
366,06/17/2023 15:10:52,31.74,,,,,
367,06/17/2023 15:15:52,31.74,,,,,
368,06/17/2023 15:20:52,32.09,,,,,
369,06/17/2023 15:25:52,32.26,,,,,
370,06/17/2023 15:30:52,32.30,,,,,
371,06/17/2023 15:35:52,32.00,,,,,
372,06/17/2023 15:40:52,31.61,,,,,
373,06/17/2023 15:45:52,31.61,,,,,
374,06/17/2023 15:50:52,31.79,,,,,
375,06/17/2023 15:55:52,31.83,,,,,
376,06/17/2023 16:00:52,31.74,,,,,
377,06/17/2023 16:05:52,31.74,,,,,
378,06/17/2023 16:10:52,31.79,,,,,
379,06/17/2023 16:15:52,31.40,,,,,
380,06/17/2023 16:20:52,31.31,,,,,
381,06/17/2023 16:25:52,31.23,,,,,
382,06/17/2023 16:30:52,30.93,,,,,
383,06/17/2023 16:35:52,30.97,,,,,
384,06/17/2023 16:40:52,30.54,,,,,
385,06/17/2023 16:45:52,30.11,,,,,
386,06/17/2023 16:50:52,30.11,,,,,
387,06/17/2023 16:55:52,30.11,,,,,
388,06/17/2023 17:00:52,30.11,,,,,
389,06/17/2023 17:05:52,29.73,,,,,
390,06/17/2023 17:10:52,29.60,,,,,
391,06/17/2023 17:15:52,29.77,,,,,
392,06/17/2023 17:20:52,29.94,,,,,
393,06/17/2023 17:25:52,29.81,,,,,
394,06/17/2023 17:30:52,29.86,,,,,
395,06/17/2023 17:35:52,29.86,,,,,
396,06/17/2023 17:40:52,29.47,,,,,
397,06/17/2023 17:45:52,29.17,,,,,
398,06/17/2023 17:50:52,29.13,,,,,
399,06/17/2023 17:55:52,29.00,,,,,
400,06/17/2023 18:00:52,28.78,,,,,
401,06/17/2023 18:05:52,28.83,,,,,
402,06/17/2023 18:10:52,28.83,,,,,
403,06/17/2023 18:15:52,28.70,,,,,
404,06/17/2023 18:20:52,28.70,,,,,
405,06/17/2023 18:25:52,28.61,,,,,
406,06/17/2023 18:30:52,28.40,,,,,
407,06/17/2023 18:35:52,28.10,,,,,
408,06/17/2023 18:40:52,28.05,,,,,
409,06/17/2023 18:45:52,27.93,,,,,
410,06/17/2023 18:50:52,27.84,,,,,
411,06/17/2023 18:55:52,27.75,,,,,
412,06/17/2023 19:00:52,27.97,,,,,
413,06/17/2023 19:05:52,28.70,,,,,
414,06/17/2023 19:10:52,28.95,,,,,
415,06/17/2023 19:15:52,29.04,,,,,
416,06/17/2023 19:20:52,29.17,,,,,
417,06/17/2023 19:25:52,29.13,,,,,
418,06/17/2023 19:30:52,28.95,,,,,
419,06/17/2023 19:35:52,28.70,,,,,
420,06/17/2023 19:40:52,28.35,,,,,
421,06/17/2023 19:45:52,28.10,,,,,
422,06/17/2023 19:50:52,27.71,,,,,
423,06/17/2023 19:55:52,27.63,,,,,
424,06/17/2023 20:00:52,27.07,,,,,
425,06/17/2023 20:05:52,26.77,,,,,
426,06/17/2023 20:10:52,26.64,,,,,
427,06/17/2023 20:15:52,26.38,,,,,
428,06/17/2023 20:20:52,26.08,,,,,
429,06/17/2023 20:25:52,25.95,,,,,
430,06/17/2023 20:30:52,25.82,,,,,
431,06/17/2023 20:35:52,25.65,,,,,
432,06/17/2023 20:40:52,25.65,,,,,
433,06/17/2023 20:45:52,25.78,,,,,
434,06/17/2023 20:50:52,25.87,,,,,
435,06/17/2023 20:55:52,25.69,,,,,
436,06/17/2023 21:00:52,24.84,,,,,
437,06/17/2023 21:05:52,24.11,,,,,
438,06/17/2023 21:10:52,23.55,,,,,
439,06/17/2023 21:15:52,23.03,,,,,
440,06/17/2023 21:20:52,22.69,,,,,
441,06/17/2023 21:25:52,22.35,,,,,
442,06/17/2023 21:30:52,21.92,,,,,
443,06/17/2023 21:35:52,21.62,,,,,
444,06/17/2023 21:40:52,21.45,,,,,
445,06/17/2023 21:45:52,21.10,,,,,
446,06/17/2023 21:50:52,20.98,,,,,
447,06/17/2023 21:55:52,20.80,,,,,
448,06/17/2023 22:00:52,20.68,,,,,
449,06/17/2023 22:05:52,20.68,,,,,
450,06/17/2023 22:10:52,20.37,,,,,
451,06/17/2023 22:15:52,20.29,,,,,
452,06/17/2023 22:20:52,20.25,,,,,
453,06/17/2023 22:25:52,20.16,,,,,
454,06/17/2023 22:30:52,20.07,,,,,
455,06/17/2023 22:35:52,19.95,,,,,
456,06/17/2023 22:40:52,19.86,,,,,
457,06/17/2023 22:45:52,19.90,,,,,
458,06/17/2023 22:50:52,19.82,,,,,
459,06/17/2023 22:55:52,19.69,,,,,
460,06/17/2023 23:00:52,19.56,,,,,
461,06/17/2023 23:05:52,19.43,,,,,
462,06/17/2023 23:10:52,19.39,,,,,
463,06/17/2023 23:15:52,19.35,,,,,
464,06/17/2023 23:20:52,19.22,,,,,
465,06/17/2023 23:25:52,19.13,,,,,
466,06/17/2023 23:30:52,19.00,,,,,
467,06/17/2023 23:35:52,18.87,,,,,
468,06/17/2023 23:40:52,18.79,,,,,
469,06/17/2023 23:45:52,18.70,,,,,
470,06/17/2023 23:50:52,18.57,,,,,
471,06/17/2023 23:55:52,18.49,,,,,
472,06/18/2023 00:00:52,18.40,,,,,
473,06/18/2023 00:05:52,18.27,,,,,
474,06/18/2023 00:10:52,18.19,,,,,
475,06/18/2023 00:15:52,18.10,,,,,
476,06/18/2023 00:20:52,18.06,,,,,
477,06/18/2023 00:25:52,18.06,,,,,
478,06/18/2023 00:30:52,17.93,,,,,
479,06/18/2023 00:35:52,17.84,,,,,
480,06/18/2023 00:40:52,17.67,,,,,
481,06/18/2023 00:45:52,17.54,,,,,
482,06/18/2023 00:50:52,17.50,,,,,
483,06/18/2023 00:55:52,17.46,,,,,
484,06/18/2023 01:00:52,17.37,,,,,
485,06/18/2023 01:05:52,17.33,,,,,
486,06/18/2023 01:10:52,17.29,,,,,
487,06/18/2023 01:15:52,17.29,,,,,
488,06/18/2023 01:20:52,17.24,,,,,
489,06/18/2023 01:25:52,17.20,,,,,
490,06/18/2023 01:30:52,17.16,,,,,
491,06/18/2023 01:35:52,17.07,,,,,
492,06/18/2023 01:40:52,17.07,,,,,
493,06/18/2023 01:45:52,17.03,,,,,
494,06/18/2023 01:50:52,17.11,,,,,
495,06/18/2023 01:55:52,17.11,,,,,
496,06/18/2023 02:00:52,17.11,,,,,
497,06/18/2023 02:05:52,17.11,,,,,
498,06/18/2023 02:10:52,17.16,,,,,
499,06/18/2023 02:15:52,17.11,,,,,
500,06/18/2023 02:20:52,17.07,,,,,
501,06/18/2023 02:25:52,17.11,,,,,
502,06/18/2023 02:30:52,17.07,,,,,
503,06/18/2023 02:35:52,17.07,,,,,
504,06/18/2023 02:40:52,17.03,,,,,
505,06/18/2023 02:45:52,16.94,,,,,
506,06/18/2023 02:50:52,16.99,,,,,
507,06/18/2023 02:55:52,16.94,,,,,
508,06/18/2023 03:00:52,16.86,,,,,
509,06/18/2023 03:05:52,16.86,,,,,
510,06/18/2023 03:10:52,16.73,,,,,
511,06/18/2023 03:15:52,16.69,,,,,
512,06/18/2023 03:20:52,16.64,,,,,
513,06/18/2023 03:25:52,16.69,,,,,
514,06/18/2023 03:30:52,16.60,,,,,
515,06/18/2023 03:35:52,16.56,,,,,
516,06/18/2023 03:40:52,16.51,,,,,
517,06/18/2023 03:45:52,16.47,,,,,
518,06/18/2023 03:50:52,16.43,,,,,
519,06/18/2023 03:55:52,16.34,,,,,
520,06/18/2023 04:00:52,16.30,,,,,
521,06/18/2023 04:05:52,16.30,,,,,
522,06/18/2023 04:10:52,16.26,,,,,
523,06/18/2023 04:15:52,16.26,,,,,
524,06/18/2023 04:20:52,16.13,,,,,
525,06/18/2023 04:25:52,16.08,,,,,
526,06/18/2023 04:30:52,16.04,,,,,
527,06/18/2023 04:35:52,16.04,,,,,
528,06/18/2023 04:40:52,16.00,,,,,
529,06/18/2023 04:45:52,15.91,,,,,
530,06/18/2023 04:50:52,15.78,,,,,
531,06/18/2023 04:55:52,15.74,,,,,
532,06/18/2023 05:00:52,15.70,,,,,
533,06/18/2023 05:05:52,15.74,,,,,
534,06/18/2023 05:10:52,15.74,,,,,
535,06/18/2023 05:15:52,15.66,,,,,
536,06/18/2023 05:20:52,15.57,,,,,
537,06/18/2023 05:25:52,15.53,,,,,
538,06/18/2023 05:30:52,15.44,,,,,
539,06/18/2023 05:35:52,15.40,,,,,
540,06/18/2023 05:40:52,15.36,,,,,
541,06/18/2023 05:45:52,15.23,,,,,
542,06/18/2023 05:50:52,15.18,,,,,
543,06/18/2023 05:55:52,15.27,,,,,
544,06/18/2023 06:00:52,15.27,,,,,
545,06/18/2023 06:05:52,15.31,,,,,
546,06/18/2023 06:10:52,15.27,,,,,
547,06/18/2023 06:15:52,15.36,,,,,
548,06/18/2023 06:20:52,15.44,,,,,
549,06/18/2023 06:25:52,15.44,,,,,
550,06/18/2023 06:30:52,15.44,,,,,
551,06/18/2023 06:35:52,15.57,,,,,
552,06/18/2023 06:40:52,15.61,,,,,
553,06/18/2023 06:45:52,15.78,,,,,
554,06/18/2023 06:50:52,15.87,,,,,
555,06/18/2023 06:55:52,16.08,,,,,
556,06/18/2023 07:00:52,16.26,,,,,
557,06/18/2023 07:05:52,16.51,,,,,
558,06/18/2023 07:10:52,16.73,,,,,
559,06/18/2023 07:15:52,16.90,,,,,
560,06/18/2023 07:20:52,17.03,,,,,
561,06/18/2023 07:25:52,17.24,,,,,
562,06/18/2023 07:30:52,17.46,,,,,
563,06/18/2023 07:35:52,17.80,,,,,
564,06/18/2023 07:40:52,18.10,,,,,
565,06/18/2023 07:45:52,18.49,,,,,
566,06/18/2023 07:50:52,18.92,,,,,
567,06/18/2023 07:55:52,19.17,,,,,
568,06/18/2023 08:00:52,19.60,,,,,
569,06/18/2023 08:05:52,19.99,,,,,
570,06/18/2023 08:10:52,20.33,,,,,
571,06/18/2023 08:15:52,20.76,,,,,
572,06/18/2023 08:20:52,21.28,,,,,
573,06/18/2023 08:25:52,21.88,,,,,
574,06/18/2023 08:30:52,22.73,,,,,
575,06/18/2023 08:35:52,23.42,,,,,
576,06/18/2023 08:40:52,24.06,,,,,
577,06/18/2023 08:45:52,24.45,,,,,
578,06/18/2023 08:50:52,24.88,,,,,
579,06/18/2023 08:55:52,25.65,,,,,
580,06/18/2023 09:00:52,25.82,,,,,
581,06/18/2023 09:05:52,26.55,,,,,
