#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,04/12/2022 07:57:58,10.64,,,,
2,04/12/2022 08:02:58,9.61,,,,
3,04/12/2022 08:07:58,9.01,,,,
4,04/12/2022 08:12:58,8.75,,,,
5,04/12/2022 08:17:58,8.58,,,,
6,04/12/2022 08:22:58,8.58,,,,
7,04/12/2022 08:27:58,8.66,,,,
8,04/12/2022 08:32:58,8.79,,,,
9,04/12/2022 08:37:58,8.88,,,,
10,04/12/2022 08:42:58,8.96,,,,
11,04/12/2022 08:47:58,9.09,,,,
12,04/12/2022 08:52:58,9.22,,,,
13,04/12/2022 08:57:58,9.39,,,,
14,04/12/2022 09:02:58,9.56,,,,
15,04/12/2022 09:07:58,9.82,,,,
16,04/12/2022 09:12:58,10.04,,,,
17,04/12/2022 09:17:58,10.34,,,,
18,04/12/2022 09:22:58,10.64,,,,
19,04/12/2022 09:27:58,10.98,,,,
20,04/12/2022 09:32:58,11.28,,,,
21,04/12/2022 09:37:58,11.58,,,,
22,04/12/2022 09:42:58,11.97,,,,
23,04/12/2022 09:47:58,12.48,,,,
24,04/12/2022 09:52:58,12.87,,,,
25,04/12/2022 09:57:58,13.30,,,,
26,04/12/2022 10:02:58,13.47,,,,
27,04/12/2022 10:07:58,13.77,,,,
28,04/12/2022 10:12:58,14.15,,,,
29,04/12/2022 10:17:58,14.58,,,,
30,04/12/2022 10:22:58,15.10,,,,
31,04/12/2022 10:27:58,15.40,,,,
32,04/12/2022 10:32:58,15.70,,,,
33,04/12/2022 10:37:58,15.66,,,,
34,04/12/2022 10:42:58,15.78,,,,
35,04/12/2022 10:47:58,15.96,,,,
36,04/12/2022 10:52:58,16.26,,,,
37,04/12/2022 10:57:58,16.77,,,,
38,04/12/2022 11:02:58,17.29,,,,
39,04/12/2022 11:07:58,17.63,,,,
40,04/12/2022 11:12:58,17.89,,,,
41,04/12/2022 11:17:58,17.46,,,,
42,04/12/2022 11:22:58,17.29,,,,
43,04/12/2022 11:27:58,16.99,,,,
44,04/12/2022 11:32:58,17.24,,,,
45,04/12/2022 11:37:58,17.89,,,,
46,04/12/2022 11:42:58,18.27,,,,
47,04/12/2022 11:47:58,18.66,,,,
48,04/12/2022 11:52:58,18.96,,,,
49,04/12/2022 11:57:58,19.09,,,,
50,04/12/2022 12:02:58,19.39,,,,
51,04/12/2022 12:07:58,19.17,,,,
52,04/12/2022 12:12:58,19.00,,,,
53,04/12/2022 12:17:58,18.70,,,,
54,04/12/2022 12:22:58,18.44,,,,
55,04/12/2022 12:27:58,18.27,,,,
56,04/12/2022 12:32:58,18.19,,,,
57,04/12/2022 12:37:58,18.36,,,,
58,04/12/2022 12:42:58,18.83,,,,
59,04/12/2022 12:47:58,19.26,,,,
60,04/12/2022 12:52:58,19.35,,,,
61,04/12/2022 12:57:58,19.39,,,,
62,04/12/2022 13:02:58,19.56,,,,
63,04/12/2022 13:07:58,19.77,,,,
64,04/12/2022 13:12:58,19.69,,,,
65,04/12/2022 13:17:58,19.77,,,,
66,04/12/2022 13:22:58,19.69,,,,
67,04/12/2022 13:27:58,19.95,,,,
68,04/12/2022 13:32:58,20.63,,,,
69,04/12/2022 13:37:58,21.19,,,,
70,04/12/2022 13:42:58,21.96,,,,
71,04/12/2022 13:47:58,22.65,,,,
72,04/12/2022 13:52:58,23.25,,,,
73,04/12/2022 13:57:58,23.76,,,,
74,04/12/2022 14:02:58,24.49,,,,
75,04/12/2022 14:07:58,25.22,,,,
76,04/12/2022 14:12:58,26.04,,,,
77,04/12/2022 14:17:58,26.04,,,,
78,04/12/2022 14:22:58,25.65,,,,
79,04/12/2022 14:27:58,25.01,,,,
80,04/12/2022 14:32:58,24.36,,,,
81,04/12/2022 14:37:58,24.15,,,,
82,04/12/2022 14:42:58,23.85,,,,
83,04/12/2022 14:47:58,24.02,,,,
84,04/12/2022 14:52:58,24.06,,,,
85,04/12/2022 14:57:58,23.64,,,,
86,04/12/2022 15:02:58,22.95,,,,
87,04/12/2022 15:07:58,22.18,,,,
88,04/12/2022 15:12:58,21.49,,,,
89,04/12/2022 15:17:58,21.06,,,,
90,04/12/2022 15:22:58,20.37,,,,
91,04/12/2022 15:27:58,20.07,,,,
92,04/12/2022 15:32:58,19.73,,,,
93,04/12/2022 15:37:58,19.47,,,,
94,04/12/2022 15:42:58,20.03,,,,
95,04/12/2022 15:47:58,21.06,,,,
96,04/12/2022 15:52:58,21.58,,,,
97,04/12/2022 15:57:58,21.92,,,,
98,04/12/2022 16:02:58,22.78,,,,
99,04/12/2022 16:07:58,23.08,,,,
100,04/12/2022 16:12:58,23.42,,,,
101,04/12/2022 16:17:58,23.46,,,,
102,04/12/2022 16:22:58,23.89,,,,
103,04/12/2022 16:27:58,24.79,,,,
104,04/12/2022 16:32:58,25.48,,,,
105,04/12/2022 16:37:58,25.44,,,,
106,04/12/2022 16:42:58,24.24,,,,
107,04/12/2022 16:47:58,23.38,,,,
108,04/12/2022 16:52:58,23.21,,,,
109,04/12/2022 16:57:58,22.99,,,,
110,04/12/2022 17:02:58,22.09,,,,
111,04/12/2022 17:07:58,20.76,,,,
112,04/12/2022 17:12:58,19.77,,,,
113,04/12/2022 17:17:58,19.35,,,,
114,04/12/2022 17:22:58,19.43,,,,
115,04/12/2022 17:27:58,20.03,,,,
116,04/12/2022 17:32:58,21.06,,,,
117,04/12/2022 17:37:58,21.92,,,,
118,04/12/2022 17:42:58,22.01,,,,
119,04/12/2022 17:47:58,21.70,,,,
120,04/12/2022 17:52:58,21.49,,,,
121,04/12/2022 17:57:58,21.36,,,,
122,04/12/2022 18:02:58,21.06,,,,
123,04/12/2022 18:07:58,21.06,,,,
124,04/12/2022 18:12:58,21.10,,,,
125,04/12/2022 18:17:58,21.06,,,,
126,04/12/2022 18:22:58,21.15,,,,
127,04/12/2022 18:27:58,20.72,,,,
128,04/12/2022 18:32:58,20.42,,,,
129,04/12/2022 18:37:58,20.07,,,,
130,04/12/2022 18:42:58,19.95,,,,
131,04/12/2022 18:47:58,19.90,,,,
132,04/12/2022 18:52:58,19.82,,,,
133,04/12/2022 18:57:58,19.90,,,,
134,04/12/2022 19:02:58,19.99,,,,
135,04/12/2022 19:07:58,19.99,,,,
136,04/12/2022 19:12:58,19.73,,,,
137,04/12/2022 19:17:58,19.47,,,,
138,04/12/2022 19:22:58,19.09,,,,
139,04/12/2022 19:27:58,18.57,,,,
140,04/12/2022 19:32:58,17.97,,,,
141,04/12/2022 19:37:58,17.29,,,,
142,04/12/2022 19:42:58,16.64,,,,
143,04/12/2022 19:47:58,16.00,,,,
144,04/12/2022 19:52:58,15.36,,,,
145,04/12/2022 19:57:58,14.84,,,,
146,04/12/2022 20:02:58,14.37,,,,
147,04/12/2022 20:07:58,13.98,,,,
148,04/12/2022 20:12:58,13.73,,,,
149,04/12/2022 20:17:58,13.43,,,,
150,04/12/2022 20:22:58,13.17,,,,
151,04/12/2022 20:27:58,12.91,,,,
152,04/12/2022 20:32:58,12.65,,,,
153,04/12/2022 20:37:58,12.44,,,,
154,04/12/2022 20:42:58,12.27,,,,
155,04/12/2022 20:47:58,12.05,,,,
156,04/12/2022 20:52:58,11.92,,,,
157,04/12/2022 20:57:58,11.79,,,,
158,04/12/2022 21:02:58,11.75,,,,
159,04/12/2022 21:07:58,11.62,,,,
160,04/12/2022 21:12:58,11.54,,,,
161,04/12/2022 21:17:58,11.37,,,,
162,04/12/2022 21:22:58,11.28,,,,
163,04/12/2022 21:27:58,11.07,,,,
164,04/12/2022 21:32:58,10.94,,,,
165,04/12/2022 21:37:58,10.77,,,,
166,04/12/2022 21:42:58,10.64,,,,
167,04/12/2022 21:47:58,10.42,,,,
168,04/12/2022 21:52:58,10.29,,,,
169,04/12/2022 21:57:58,10.16,,,,
170,04/12/2022 22:02:58,9.99,,,,
171,04/12/2022 22:07:58,9.86,,,,
172,04/12/2022 22:12:58,9.74,,,,
173,04/12/2022 22:17:58,9.61,,,,
174,04/12/2022 22:22:58,9.52,,,,
175,04/12/2022 22:27:58,9.39,,,,
176,04/12/2022 22:32:58,9.31,,,,
177,04/12/2022 22:37:58,9.14,,,,
178,04/12/2022 22:42:58,9.01,,,,
179,04/12/2022 22:47:58,8.88,,,,
180,04/12/2022 22:52:58,8.66,,,,
181,04/12/2022 22:57:58,8.49,,,,
182,04/12/2022 23:02:58,8.32,,,,
183,04/12/2022 23:07:58,8.15,,,,
184,04/12/2022 23:12:58,7.89,,,,
185,04/12/2022 23:17:58,7.76,,,,
186,04/12/2022 23:22:58,7.59,,,,
187,04/12/2022 23:27:58,7.42,,,,
188,04/12/2022 23:32:58,7.29,,,,
189,04/12/2022 23:37:58,7.20,,,,
190,04/12/2022 23:42:58,7.08,,,,
191,04/12/2022 23:47:58,6.95,,,,
192,04/12/2022 23:52:58,6.78,,,,
193,04/12/2022 23:57:58,6.73,,,,
194,04/13/2022 00:02:58,6.52,,,,
195,04/13/2022 00:07:58,6.43,,,,
196,04/13/2022 00:12:58,6.39,,,,
197,04/13/2022 00:17:58,6.22,,,,
198,04/13/2022 00:22:58,6.09,,,,
199,04/13/2022 00:27:58,6.00,,,,
200,04/13/2022 00:32:58,5.87,,,,
201,04/13/2022 00:37:58,5.87,,,,
202,04/13/2022 00:42:58,5.79,,,,
203,04/13/2022 00:47:58,5.75,,,,
204,04/13/2022 00:52:58,5.66,,,,
205,04/13/2022 00:57:58,5.53,,,,
206,04/13/2022 01:02:58,5.40,,,,
207,04/13/2022 01:07:58,5.36,,,,
208,04/13/2022 01:12:58,5.27,,,,
209,04/13/2022 01:17:58,5.15,,,,
210,04/13/2022 01:22:58,5.15,,,,
211,04/13/2022 01:27:58,5.06,,,,
212,04/13/2022 01:32:58,5.02,,,,
213,04/13/2022 01:37:58,4.97,,,,
214,04/13/2022 01:42:58,4.97,,,,
215,04/13/2022 01:47:58,4.93,,,,
216,04/13/2022 01:52:58,4.89,,,,
217,04/13/2022 01:57:58,4.80,,,,
218,04/13/2022 02:02:58,4.84,,,,
219,04/13/2022 02:07:58,4.80,,,,
220,04/13/2022 02:12:58,4.80,,,,
221,04/13/2022 02:17:58,4.67,,,,
222,04/13/2022 02:22:58,4.63,,,,
223,04/13/2022 02:27:58,4.54,,,,
224,04/13/2022 02:32:58,4.46,,,,
225,04/13/2022 02:37:58,4.46,,,,
226,04/13/2022 02:42:58,4.42,,,,
227,04/13/2022 02:47:58,4.42,,,,
228,04/13/2022 02:52:58,4.42,,,,
229,04/13/2022 02:57:58,4.37,,,,
230,04/13/2022 03:02:58,4.37,,,,
231,04/13/2022 03:07:58,4.37,,,,
232,04/13/2022 03:12:58,4.42,,,,
233,04/13/2022 03:17:58,4.42,,,,
234,04/13/2022 03:22:58,4.46,,,,
235,04/13/2022 03:27:58,4.50,,,,
236,04/13/2022 03:32:58,4.50,,,,
237,04/13/2022 03:37:58,4.50,,,,
238,04/13/2022 03:42:58,4.50,,,,
239,04/13/2022 03:47:58,4.50,,,,
240,04/13/2022 03:52:58,4.54,,,,
241,04/13/2022 03:57:58,4.54,,,,
242,04/13/2022 04:02:58,4.50,,,,
243,04/13/2022 04:07:58,4.54,,,,
244,04/13/2022 04:12:58,4.54,,,,
245,04/13/2022 04:17:58,4.59,,,,
246,04/13/2022 04:22:58,4.63,,,,
247,04/13/2022 04:27:58,4.67,,,,
248,04/13/2022 04:32:58,4.72,,,,
249,04/13/2022 04:37:58,4.80,,,,
250,04/13/2022 04:42:58,4.84,,,,
251,04/13/2022 04:47:58,4.93,,,,
252,04/13/2022 04:52:58,4.97,,,,
253,04/13/2022 04:57:58,5.02,,,,
254,04/13/2022 05:02:58,5.02,,,,
255,04/13/2022 05:07:58,5.10,,,,
256,04/13/2022 05:12:58,5.10,,,,
257,04/13/2022 05:17:58,5.10,,,,
258,04/13/2022 05:22:58,5.10,,,,
259,04/13/2022 05:27:58,5.02,,,,
260,04/13/2022 05:32:58,4.93,,,,
261,04/13/2022 05:37:58,4.89,,,,
262,04/13/2022 05:42:58,4.84,,,,
263,04/13/2022 05:47:58,4.76,,,,
264,04/13/2022 05:52:58,4.67,,,,
265,04/13/2022 05:57:58,4.54,,,,
266,04/13/2022 06:02:58,4.54,,,,
267,04/13/2022 06:07:58,4.50,,,,
268,04/13/2022 06:12:58,4.46,,,,
269,04/13/2022 06:17:58,4.37,,,,
270,04/13/2022 06:22:58,4.37,,,,
271,04/13/2022 06:27:58,4.29,,,,
272,04/13/2022 06:32:58,4.33,,,,
273,04/13/2022 06:37:58,4.29,,,,
274,04/13/2022 06:42:58,4.29,,,,
275,04/13/2022 06:47:58,4.37,,,,
276,04/13/2022 06:52:58,4.46,,,,
277,04/13/2022 06:57:58,4.54,,,,
278,04/13/2022 07:02:58,4.63,,,,
279,04/13/2022 07:07:58,4.76,,,,
280,04/13/2022 07:12:58,4.84,,,,
281,04/13/2022 07:17:58,4.97,,,,
282,04/13/2022 07:22:58,5.06,,,,
283,04/13/2022 07:27:58,5.27,,,,
284,04/13/2022 07:32:58,5.40,,,,
285,04/13/2022 07:37:58,5.45,,,,
286,04/13/2022 07:42:58,5.62,,,,
287,04/13/2022 07:47:58,5.79,,,,
288,04/13/2022 07:52:58,5.92,,,,
289,04/13/2022 07:57:58,6.09,,,,
290,04/13/2022 08:02:58,6.17,,,,
291,04/13/2022 08:07:58,6.30,,,,
292,04/13/2022 08:12:58,6.43,,,,
293,04/13/2022 08:17:58,6.56,,,,
294,04/13/2022 08:22:58,6.78,,,,
295,04/13/2022 08:27:58,7.03,,,,
296,04/13/2022 08:32:58,7.25,,,,
297,04/13/2022 08:37:58,7.59,,,,
298,04/13/2022 08:42:58,7.85,,,,
299,04/13/2022 08:47:58,8.23,,,,
300,04/13/2022 08:52:58,8.62,,,,
301,04/13/2022 08:57:58,9.09,,,,
302,04/13/2022 09:02:58,9.52,,,,
303,04/13/2022 09:07:58,9.91,,,,
304,04/13/2022 09:12:58,10.29,,,,
305,04/13/2022 09:17:58,10.68,,,,
306,04/13/2022 09:22:58,11.19,,,,
307,04/13/2022 09:27:58,11.67,,,,
308,04/13/2022 09:32:58,12.18,,,,
309,04/13/2022 09:37:58,12.65,,,,
310,04/13/2022 09:42:58,13.04,,,,
311,04/13/2022 09:47:58,13.55,,,,
312,04/13/2022 09:52:58,14.15,,,,
313,04/13/2022 09:57:58,14.80,,,,
314,04/13/2022 10:02:58,15.31,,,,
315,04/13/2022 10:07:58,15.66,,,,
316,04/13/2022 10:12:58,15.91,,,,
317,04/13/2022 10:17:58,16.30,,,,
318,04/13/2022 10:22:58,16.56,,,,
319,04/13/2022 10:27:58,16.81,,,,
320,04/13/2022 10:32:58,16.99,,,,
321,04/13/2022 10:37:58,17.24,,,,
322,04/13/2022 10:42:58,17.63,,,,
323,04/13/2022 10:47:58,18.10,,,,
324,04/13/2022 10:52:58,18.49,,,,
325,04/13/2022 10:57:58,18.87,,,,
326,04/13/2022 11:02:58,19.39,,,,
327,04/13/2022 11:07:58,19.82,,,,
328,04/13/2022 11:12:58,20.20,,,,
329,04/13/2022 11:17:58,20.42,,,,
330,04/13/2022 11:22:58,20.63,,,,
331,04/13/2022 11:27:58,21.02,,,,
332,04/13/2022 11:32:58,21.28,,,,
333,04/13/2022 11:37:58,20.98,,,,
334,04/13/2022 11:42:58,20.80,,,,
335,04/13/2022 11:47:58,20.63,,,,
336,04/13/2022 11:52:58,20.25,,,,
337,04/13/2022 11:57:58,19.95,,,,
338,04/13/2022 12:02:58,19.30,,,,
339,04/13/2022 12:07:58,18.87,,,,
340,04/13/2022 12:12:58,18.83,,,,
341,04/13/2022 12:17:58,19.00,,,,
342,04/13/2022 12:22:58,19.43,,,,
343,04/13/2022 12:27:58,20.07,,,,
344,04/13/2022 12:32:58,20.59,,,,
345,04/13/2022 12:37:58,21.19,,,,
346,04/13/2022 12:42:58,21.88,,,,
347,04/13/2022 12:47:58,22.48,,,,
348,04/13/2022 12:52:58,22.52,,,,
349,04/13/2022 12:57:58,22.18,,,,
350,04/13/2022 13:02:58,21.36,,,,
351,04/13/2022 13:07:58,20.93,,,,
352,04/13/2022 13:12:58,21.23,,,,
353,04/13/2022 13:17:58,22.01,,,,
354,04/13/2022 13:22:58,22.86,,,,
355,04/13/2022 13:27:58,23.55,,,,
356,04/13/2022 13:32:58,24.06,,,,
357,04/13/2022 13:37:58,24.41,,,,
358,04/13/2022 13:42:58,24.41,,,,
359,04/13/2022 13:47:58,24.28,,,,
360,04/13/2022 13:52:58,24.62,,,,
361,04/13/2022 13:57:58,24.71,,,,
362,04/13/2022 14:02:58,24.88,,,,
363,04/13/2022 14:07:58,24.97,,,,
364,04/13/2022 14:12:58,25.39,,,,
365,04/13/2022 14:17:58,25.82,,,,
366,04/13/2022 14:22:58,26.17,,,,
367,04/13/2022 14:27:58,26.25,,,,
368,04/13/2022 14:32:58,26.51,,,,
369,04/13/2022 14:37:58,26.38,,,,
370,04/13/2022 14:42:58,25.78,,,,
371,04/13/2022 14:47:58,25.27,,,,
372,04/13/2022 14:52:58,24.97,,,,
373,04/13/2022 14:57:58,24.97,,,,
374,04/13/2022 15:02:58,25.01,,,,
375,04/13/2022 15:07:58,24.92,,,,
376,04/13/2022 15:12:58,24.88,,,,
377,04/13/2022 15:17:58,24.97,,,,
378,04/13/2022 15:22:58,24.97,,,,
379,04/13/2022 15:27:58,25.44,,,,
380,04/13/2022 15:32:58,25.74,,,,
381,04/13/2022 15:37:58,25.78,,,,
382,04/13/2022 15:42:58,25.39,,,,
383,04/13/2022 15:47:58,25.14,,,,
384,04/13/2022 15:52:58,24.71,,,,
385,04/13/2022 15:57:58,24.32,,,,
386,04/13/2022 16:02:58,24.02,,,,
387,04/13/2022 16:07:58,23.76,,,,
388,04/13/2022 16:12:58,23.46,,,,
389,04/13/2022 16:17:58,23.25,,,,
390,04/13/2022 16:22:58,23.34,,,,
391,04/13/2022 16:27:58,23.08,,,,
392,04/13/2022 16:32:58,22.61,,,,
393,04/13/2022 16:37:58,22.18,,,,
394,04/13/2022 16:42:58,21.75,,,,
395,04/13/2022 16:47:58,21.28,,,,
396,04/13/2022 16:52:58,21.06,,,,
397,04/13/2022 16:57:58,20.76,,,,
398,04/13/2022 17:02:58,20.63,,,,
399,04/13/2022 17:07:58,20.55,,,,
400,04/13/2022 17:12:58,20.33,,,,
401,04/13/2022 17:17:58,20.20,,,,
402,04/13/2022 17:22:58,20.12,,,,
403,04/13/2022 17:27:58,19.95,,,,
404,04/13/2022 17:32:58,19.73,,,,
405,04/13/2022 17:37:58,19.52,,,,
406,04/13/2022 17:42:58,19.13,,,,
407,04/13/2022 17:47:58,18.79,,,,
408,04/13/2022 17:52:58,18.40,,,,
409,04/13/2022 17:57:58,18.06,,,,
410,04/13/2022 18:02:58,17.72,,,,
411,04/13/2022 18:07:58,17.46,,,,
412,04/13/2022 18:12:58,17.16,,,,
413,04/13/2022 18:17:58,16.90,,,,
414,04/13/2022 18:22:58,16.73,,,,
415,04/13/2022 18:27:58,16.47,,,,
416,04/13/2022 18:32:58,16.21,,,,
417,04/13/2022 18:37:58,16.04,,,,
418,04/13/2022 18:42:58,15.83,,,,
419,04/13/2022 18:47:58,15.70,,,,
420,04/13/2022 18:52:58,15.53,,,,
421,04/13/2022 18:57:58,15.40,,,,
422,04/13/2022 19:02:58,15.27,,,,
423,04/13/2022 19:07:58,15.14,,,,
424,04/13/2022 19:12:58,15.06,,,,
425,04/13/2022 19:17:58,14.93,,,,
426,04/13/2022 19:22:58,14.80,,,,
427,04/13/2022 19:27:58,14.75,,,,
428,04/13/2022 19:32:58,14.67,,,,
429,04/13/2022 19:37:58,14.58,,,,
430,04/13/2022 19:42:58,14.54,,,,
431,04/13/2022 19:47:58,14.41,,,,
432,04/13/2022 19:52:58,14.33,,,,
433,04/13/2022 19:57:58,14.28,,,,
434,04/13/2022 20:02:58,14.20,,,,
435,04/13/2022 20:07:58,14.15,,,,
436,04/13/2022 20:12:58,14.03,,,,
437,04/13/2022 20:17:58,13.98,,,,
438,04/13/2022 20:22:58,13.90,,,,
439,04/13/2022 20:27:58,13.81,,,,
440,04/13/2022 20:32:58,13.73,,,,
441,04/13/2022 20:37:58,13.73,,,,
442,04/13/2022 20:42:58,13.64,,,,
443,04/13/2022 20:47:58,13.60,,,,
444,04/13/2022 20:52:58,13.47,,,,
445,04/13/2022 20:57:58,13.43,,,,
446,04/13/2022 21:02:58,13.34,,,,
447,04/13/2022 21:07:58,13.30,,,,
448,04/13/2022 21:12:58,13.25,,,,
449,04/13/2022 21:17:58,13.17,,,,
450,04/13/2022 21:22:58,13.12,,,,
451,04/13/2022 21:27:58,13.12,,,,
452,04/13/2022 21:32:58,13.04,,,,
453,04/13/2022 21:37:58,12.95,,,,
454,04/13/2022 21:42:58,12.91,,,,
455,04/13/2022 21:47:58,12.78,,,,
456,04/13/2022 21:52:58,12.70,,,,
457,04/13/2022 21:57:58,12.65,,,,
458,04/13/2022 22:02:58,12.61,,,,
459,04/13/2022 22:07:58,12.52,,,,
460,04/13/2022 22:12:58,12.48,,,,
461,04/13/2022 22:17:58,12.44,,,,
462,04/13/2022 22:22:58,12.40,,,,
463,04/13/2022 22:27:58,12.40,,,,
464,04/13/2022 22:32:58,12.40,,,,
465,04/13/2022 22:37:58,12.40,,,,
466,04/13/2022 22:42:58,12.31,,,,
467,04/13/2022 22:47:58,12.22,,,,
468,04/13/2022 22:52:58,12.22,,,,
469,04/13/2022 22:57:58,12.22,,,,
470,04/13/2022 23:02:58,12.18,,,,
471,04/13/2022 23:07:58,12.18,,,,
472,04/13/2022 23:12:58,12.14,,,,
473,04/13/2022 23:17:58,12.14,,,,
474,04/13/2022 23:22:58,12.14,,,,
475,04/13/2022 23:27:58,12.14,,,,
476,04/13/2022 23:32:58,12.14,,,,
477,04/13/2022 23:37:58,12.10,,,,
478,04/13/2022 23:42:58,12.10,,,,
479,04/13/2022 23:47:58,12.10,,,,
480,04/13/2022 23:52:58,12.10,,,,
481,04/13/2022 23:57:58,12.05,,,,
482,04/14/2022 00:02:58,12.01,,,,
483,04/14/2022 00:07:58,12.01,,,,
484,04/14/2022 00:12:58,12.01,,,,
485,04/14/2022 00:17:58,11.97,,,,
486,04/14/2022 00:22:58,12.01,,,,
487,04/14/2022 00:27:58,12.01,,,,
488,04/14/2022 00:32:58,11.97,,,,
489,04/14/2022 00:37:58,11.92,,,,
490,04/14/2022 00:42:58,11.92,,,,
491,04/14/2022 00:47:58,11.92,,,,
492,04/14/2022 00:52:58,11.84,,,,
493,04/14/2022 00:57:58,11.79,,,,
494,04/14/2022 01:02:58,11.67,,,,
495,04/14/2022 01:07:58,11.58,,,,
496,04/14/2022 01:12:58,11.54,,,,
497,04/14/2022 01:17:58,11.49,,,,
498,04/14/2022 01:22:58,11.49,,,,
499,04/14/2022 01:27:58,11.45,,,,
500,04/14/2022 01:32:58,11.45,,,,
501,04/14/2022 01:37:58,11.49,,,,
502,04/14/2022 01:42:58,11.49,,,,
503,04/14/2022 01:47:58,11.41,,,,
504,04/14/2022 01:52:58,11.41,,,,
505,04/14/2022 01:57:58,11.37,,,,
506,04/14/2022 02:02:58,11.37,,,,
507,04/14/2022 02:07:58,11.32,,,,
508,04/14/2022 02:12:58,11.32,,,,
509,04/14/2022 02:17:58,11.28,,,,
510,04/14/2022 02:22:58,11.28,,,,
511,04/14/2022 02:27:58,11.24,,,,
512,04/14/2022 02:32:58,11.24,,,,
513,04/14/2022 02:37:58,11.24,,,,
514,04/14/2022 02:42:58,11.24,,,,
515,04/14/2022 02:47:58,11.19,,,,
516,04/14/2022 02:52:58,11.15,,,,
517,04/14/2022 02:57:58,11.11,,,,
518,04/14/2022 03:02:58,11.07,,,,
519,04/14/2022 03:07:58,11.02,,,,
520,04/14/2022 03:12:58,10.98,,,,
521,04/14/2022 03:17:58,10.98,,,,
522,04/14/2022 03:22:58,10.98,,,,
523,04/14/2022 03:27:58,10.94,,,,
524,04/14/2022 03:32:58,10.94,,,,
525,04/14/2022 03:37:58,10.94,,,,
526,04/14/2022 03:42:58,10.85,,,,
527,04/14/2022 03:47:58,10.85,,,,
528,04/14/2022 03:52:58,10.89,,,,
529,04/14/2022 03:57:58,10.81,,,,
530,04/14/2022 04:02:58,10.81,,,,
531,04/14/2022 04:07:58,10.81,,,,
532,04/14/2022 04:12:58,10.85,,,,
533,04/14/2022 04:17:58,10.81,,,,
534,04/14/2022 04:22:58,10.81,,,,
535,04/14/2022 04:27:58,10.85,,,,
536,04/14/2022 04:32:58,10.81,,,,
537,04/14/2022 04:37:58,10.77,,,,
538,04/14/2022 04:42:58,10.77,,,,
539,04/14/2022 04:47:58,10.77,,,,
540,04/14/2022 04:52:58,10.77,,,,
541,04/14/2022 04:57:58,10.77,,,,
542,04/14/2022 05:02:58,10.85,,,,
543,04/14/2022 05:07:58,10.81,,,,
544,04/14/2022 05:12:58,10.81,,,,
545,04/14/2022 05:17:58,10.81,,,,
546,04/14/2022 05:22:58,10.85,,,,
547,04/14/2022 05:27:58,10.94,,,,
548,04/14/2022 05:32:58,11.02,,,,
549,04/14/2022 05:37:58,11.02,,,,
550,04/14/2022 05:42:58,11.11,,,,
551,04/14/2022 05:47:58,11.11,,,,
552,04/14/2022 05:52:58,11.11,,,,
553,04/14/2022 05:57:58,11.15,,,,
554,04/14/2022 06:02:58,11.19,,,,
555,04/14/2022 06:07:58,11.24,,,,
556,04/14/2022 06:12:58,11.32,,,,
557,04/14/2022 06:17:58,11.28,,,,
558,04/14/2022 06:22:58,11.32,,,,
559,04/14/2022 06:27:58,11.41,,,,
560,04/14/2022 06:32:58,11.41,,,,
561,04/14/2022 06:37:58,11.45,,,,
562,04/14/2022 06:42:58,11.45,,,,
563,04/14/2022 06:47:58,11.45,,,,
564,04/14/2022 06:52:58,11.45,,,,
565,04/14/2022 06:57:58,11.45,,,,
566,04/14/2022 07:02:58,11.41,,,,
567,04/14/2022 07:07:58,11.45,,,,
568,04/14/2022 07:12:58,11.45,,,,
569,04/14/2022 07:17:58,11.41,,,,
570,04/14/2022 07:22:58,11.41,,,,
571,04/14/2022 07:27:58,11.49,,,,
572,04/14/2022 07:32:58,11.49,,,,
573,04/14/2022 07:37:58,11.54,,,,
574,04/14/2022 07:42:58,11.54,,,,
575,04/14/2022 07:47:58,11.58,,,,
576,04/14/2022 07:52:58,11.58,,,,
577,04/14/2022 07:57:58,11.62,,,,
578,04/14/2022 08:02:58,11.67,,,,
579,04/14/2022 08:07:58,11.71,,,,
580,04/14/2022 08:12:58,11.75,,,,
581,04/14/2022 08:17:58,11.79,,,,
582,04/14/2022 08:22:58,11.75,,,,
583,04/14/2022 08:27:58,11.71,,,,
584,04/14/2022 08:32:58,11.62,,,,
585,04/14/2022 08:37:58,11.58,,,,
586,04/14/2022 08:42:58,11.54,,,,
587,04/14/2022 08:47:58,11.49,,,,
588,04/14/2022 08:52:58,11.49,,,,
589,04/14/2022 08:57:58,11.45,,,,
590,04/14/2022 09:02:58,11.45,,,,
591,04/14/2022 09:07:58,11.45,,,,
592,04/14/2022 09:12:58,11.49,,,,
593,04/14/2022 09:17:58,11.49,,,,
594,04/14/2022 09:22:58,11.58,,,,
595,04/14/2022 09:27:58,11.67,,,,
596,04/14/2022 09:32:58,11.79,,,,
597,04/14/2022 09:37:58,11.88,,,,
598,04/14/2022 09:42:58,12.01,,,,
599,04/14/2022 09:47:58,12.18,,,,
600,04/14/2022 09:52:58,12.31,,,,
601,04/14/2022 09:57:58,12.40,,,,
602,04/14/2022 10:02:58,12.52,,,,
603,04/14/2022 10:07:58,12.61,,,,
604,04/14/2022 10:12:58,12.70,,,,
605,04/14/2022 10:17:58,12.78,,,,
606,04/14/2022 10:22:58,12.87,,,,
